StateName,date,homeowner_affordability,zhvi,zori,renter_affordability
CO,2008-01-31,,248135.87879103958,,
CO,2008-02-29,,246588.53445875127,,
CO,2008-03-31,,245125.27889150966,,
CO,2008-04-30,,243800.48358132236,,
CO,2008-05-31,,242731.9531603769,,
CO,2008-06-30,,241734.3543551846,,
CO,2008-07-31,,240577.097314083,,
CO,2008-08-31,,239554.76332554442,,
CO,2008-09-30,,236280.338774855,,
CO,2008-10-31,,235621.13628416116,,
CO,2008-11-30,,234946.45144236405,,
CO,2008-12-31,,236467.94225526642,,
CO,2009-01-31,,239141.94740439835,,
CO,2009-02-28,,239617.17557101816,,
CO,2009-03-31,,239829.48189599728,,
CO,2009-04-30,,239478.0622525861,,
CO,2009-05-31,,238952.44268245375,,
CO,2009-06-30,,237819.04550445688,,
CO,2009-07-31,,234945.47937912625,,
CO,2009-08-31,,231939.89823352316,,
CO,2009-09-30,,231486.77439922435,,
CO,2009-10-31,,231553.40064692052,,
CO,2009-11-30,,231634.5626136964,,
CO,2009-12-31,,231858.9475045,,
CO,2010-01-31,,232494.78688511057,,
CO,2010-02-28,,233541.68125626488,,
CO,2010-03-31,,234523.54378442824,,
CO,2010-04-30,,234923.04251783853,,
CO,2010-05-31,,234724.59074034123,,
CO,2010-06-30,,234017.2401519442,,
CO,2010-07-31,,233062.11296319868,,
CO,2010-08-31,,231865.8414949465,,
CO,2010-09-30,,230594.5720804399,,
CO,2010-10-31,,229302.06885236947,,
CO,2010-11-30,,228236.22487286796,,
CO,2010-12-31,,227367.3752495841,,
CO,2011-01-31,,226638.41585293747,,
CO,2011-02-28,,225801.50966875523,,
CO,2011-03-31,,224918.6814736433,,
CO,2011-04-30,,224223.05945931605,,
CO,2011-05-31,,223244.597990384,,
CO,2011-06-30,,222403.56795537216,,
CO,2011-07-31,,221603.85872188176,,
CO,2011-08-31,,221226.7158607045,,
CO,2011-09-30,,221074.87469652083,,
CO,2011-10-31,,220998.8533856405,,
CO,2011-11-30,,221000.8688019458,,
CO,2011-12-31,,220973.8313667104,,
CO,2012-01-31,22.58243912429716,210806.14256687008,,
CO,2012-02-29,22.508355990226438,211231.67016443954,,
CO,2012-03-31,22.627423849147892,211646.83528747945,,
CO,2012-04-30,22.51840468394061,211710.56443765992,,
CO,2012-05-31,22.3039620240259,211979.17060749995,,
CO,2012-06-30,22.14544844208745,212772.34886076485,,
CO,2012-07-31,22.047858474504388,214113.26066843985,,
CO,2012-08-31,22.33102574907956,215836.07597791072,,
CO,2012-09-30,22.23324877820477,217804.87536884355,,
CO,2012-10-31,22.08532948968452,219832.0083946468,,
